,Unnamed: 0,_unit_id,_golden,_unit_state_x,_trusted_judgments,_last_judgment_at_x,violence_judgment,violence,violence_confidence,protest_judgment_x,protest,protest_confidence,created_at,id,proccd_text,clean_text,non_vio_prob,vio_prob,violence_prediction
9,16,1657977956,False,finalized,3,04/05/18 11:50,"""11""",1.0,0.625,"""101""",1,0.625,Sun Jun 16 11:41:34 +0000 2013,3.46231e+17,cbs riot police rush to crush renewed turkey protests httpAddress #news,cbs riot police rush crush renewed news,0.9400535517420494,0.059946448257950674,0.0
23,49,1657977998,False,finalized,3,04/05/18 11:50,"""01""",1.0,0.3125,"""101""",1,0.625,Sun Jun 16 19:34:30 +0000 2013,3.4635e+17,rt usrId #istanbul #protestors holding their ground despite organized #attacks by the #police and #fascist httpAddress no retreating,protestors holding ground despite organized attacks police fascist retreating,0.8063665596894708,0.1936334403105292,0.0
25,58,1657978009,False,finalized,3,3/30/2018 15:09:17,"""110""",1.0,0.6581,"""111""",1,1.0,Sun Jun 16 10:41:39 +0000 2013,3.46216e+17,rt usrId police detaining the doctors at ramada hotel for treating gezipark protestors 3462DD001152634880 sun jun DD DD 41 41 00 2013 turkey eu minister usrId tweets link saying people need to know that anyone entering taksim will be seen as a httpAddress jun DD DD 41 48 00 2013 her yer taksim her yer direni everywhere is taksim everywhere is httpAddress jun DD DD 41 48 00 2013 rt usrId letter to pm of #turkey from world medical association httpAddress DD millions doctors in the world httpAddress jun DD DD 41 56 00 httpAddress turkish protesters responding to every instance of police violence with acts of kindness amp ,police detaining doctors ramada hotel treating gezipark protestors eu minister tweets link saying people need know anyone entering seen yer yer direni everywhere everywhere letter world medical association millions doctors world responding every instance police violence acts kindness,0.7891811285454838,0.21081887145451605,0.0
27,60,1657978012,False,finalized,3,3/30/2018 15:02:31,"""111""",1.0,1.0,"""111""",1,1.0,Wed Jun 12 18:49:45 +0000 2013,3.44889e+17,usrId riot police fire water cannon at protester in wheelchair at #taksim httpAddress #occupygezi,riot police fire water cannon protester wheelchair,0.8449362208163158,0.15506377918368414,0.0
29,63,1657978015,False,finalized,3,3/30/2018 15:04:47,"""011""",1.0,0.6594,"""111""",1,1.0,Mon Jun 03 17:58:30 +0000 2013,3.41615e+17,rt usrId police chopper circling over crowd of tens of thousands filling taksim square gezi httpAddress the gas has sent thousands httpAddress,police chopper circling crowd tens thousands filling square gas sent thousands,0.9630059782254538,0.03699402177454619,0.0
45,94,1657978052,False,finalized,3,3/30/2018 15:29:27,"""10""",1.0,0.3388,"""011""",1,0.6748,Mon Jun 24 10:27:31 +0000 2013,3.49112e+17,rt usrId #simsek says some journalists killed people robbed httpAddress that s why they re in httpAddress #turkey 34911712068272128 mon jun DD 10 28 13 00 2013 rt usrId #simsek says #erdogan government not imposing way of life on httpAddress #turkey 34911742330195968 mon jun DD 10 28 20 00 2013 via usrId erdogan said that his cops were very httpAddress look how brave they httpAddress #occupygezi #direnankara httpAddress,simsek says journalists killed people robbed mon simsek says erdogan government imposing way life mon via erdogan said cops look brave,0.9431739028350258,0.05682609716497413,0.0
47,96,1657978054,False,finalized,3,3/30/2018 15:24:33,"""11""",1.0,0.6594,"""011""",1,0.6594,Tue Jun 11 11:49:37 +0000 2013,3.44421e+17,turkish secret police agents provocateurs infiltrating taksim square ? its the oldest trick in the kgb httpAddress httpAddress,secret police agents provocateurs infiltrating square oldest trick kgb,0.7927437363088196,0.20725626369118022,0.0
87,206,1657978210,False,finalized,3,04/03/18 20:14,"""101""",1.0,0.664,"""111""",1,1.0,Sun Jun 02 23:08:29 +0000 2013,3.41331e+17,rt usrId 100s arrested in httpAddress protestors locked up in a basketball httpAddress people plan to march there and release them #occupy,s arrested protestors locked basketball people plan march release occupy,0.9794091754669805,0.020590824533019633,0.0
88,213,1657978229,False,finalized,3,04/03/18 17:15,"""111""",1.0,1.0,"""111""",1,1.0,Thu Jun 13 17:59:50 +0000 2013,3.45239e+17,rt usrId fashionable to wear gas mask helmet goggles downtown istanbul httpAddress sure how many will actually stay if violence erup,fashionable wear gas mask helmet goggles downtown sure many actually stay violence erup,0.7490474103422872,0.2509525896577129,0.0
94,228,1657978256,False,finalized,3,04/03/18 20:56,"""001""",0.0,0.6748,"""111""",1,1.0,Sun Jun 02 17:43:20 +0000 2013,3.41249e+17,rt usrId scenes from ankara and izmir quite httpAddress with police httpAddress about this results in being labeled a p,scenes ankara izmir quite police results labeled p,0.52129479361751,0.4787052063824898,1.0
101,241,1657978277,False,finalized,3,04/09/18 16:53,"""111""",1.0,1.0,"""111""",1,1.0,Sun Jun 02 16:33:12 +0000 2013,3.41231e+17,rt usrId cnn turk vs cnn the media blackout in httpAddress jun DD 16 33 12 00 2013 dear carl ! please talk to your friend httpAddress but don t believe his shoothing lies this time ! usrId #direngezi #tayyipresign 341231049449287680 sun jun DD 16 33 16 00 2013 now the armoured vans are burned out as is the building the police httpAddress #occupygezi,cnn turk vs cnn media blackout dear carl please talk friend believe shoothing lies time direngezi tayyipresign armoured vans burned building police,0.9736761474967165,0.026323852503283576,0.0
107,258,1657978312,False,finalized,3,04/06/18 12:54,"""101""",1.0,0.6666,"""111""",1,1.0,Sat Jun 15 18:17:11 +0000 2013,3.45968e+17,heavy attack on gezi park right httpAddress police have cleared the square and are heading into the httpAddress,heavy attack right police cleared square heading,0.8895729774014257,0.11042702259857444,0.0
123,295,1657978379,False,finalized,3,04/06/18 14:35,"""011""",1.0,0.6666,"""111""",1,1.0,Sat Jun 08 22:25:14 +0000 2013,3.43494e+17,rt usrId had to spray my eyes with malox httpAddress now standing by a fire because smoke helps with tear httpAddress right now in httpAddress #occupyg,spray eyes malox standing fire smoke helps tear right occupyg,0.9634963224240473,0.03650367757595275,0.0
125,300,1657978384,False,finalized,3,04/03/18 19:20,"""000""",0.0,1.0,"""111""",1,1.0,Tue Jun 11 15:31:54 +0000 2013,3.44477e+17,rt usrId #erdogan shutting down democracy ? now he arrests httpAddress condemnation of police violence #wearegezi #turkeynotal,erdogan shutting democracy arrests condemnation police violence wearegezi turkeynotal,0.5120656371450398,0.4879343628549601,1.0
133,311,1657978402,False,finalized,3,4/14/2018 05:48:51,"""11""",1.0,0.6667,"""110""",1,0.6667,Sat Jun 01 07:38:20 +0000 2013,3.40734e+17,rt usrId a shopping mall opened its doors to people running away from gas httpAddress #occupygezi #direngezipark,shopping mall opened doors people running away gas,0.9097773315255065,0.09022266847449313,0.0
143,326,1657978429,False,finalized,3,04/07/18 15:51,"""101""",1.0,0.6667,"""111""",1,1.0,Sat Jun 01 07:40:14 +0000 2013,3.40735e+17,rt usrId already had our morning dose of tear httpAddress good morning to you too riot police #occupygezi #turkey,already morning dose tear good morning riot police,0.8806048417776712,0.11939515822232873,0.0
147,338,1657978444,False,finalized,3,04/06/18 13:28,"""101""",1.0,0.6666,"""111""",1,1.0,Fri May 31 23:34:05 +0000 2013,3.40612e+17,rt usrId shocking scenes of brutality from turkish httpAddress of the people of turkey standing up to the tyranny #occupygezi #,shocking scenes brutality people standing tyranny,0.9443832104118646,0.055616789588135394,0.0
149,341,1657978453,False,finalized,3,04/06/18 14:07,"""111""",1.0,1.0,"""111""",1,1.0,Sat Jun 15 23:04:02 +0000 2013,3.4604e+17,rt usrId rt usrId #taksim solidarity platform police uses extensive rubber bullets tear gas and stun grenades #occupygezi,solidarity platform police uses extensive rubber bullets tear gas stun grenades,0.6893974235238668,0.3106025764761331,0.0
160,364,1657978492,False,finalized,3,04/03/18 17:29,"""000""",0.0,1.0,"""111""",1,1.0,Tue Jun 04 16:14:55 +0000 2013,3.41951e+17,rt usrId turkey guess who has the contract to develop istanbul s gezi park ? 341951233139023872 tue jun DD 16 15 01 00 2013 rt usrId brutally tear gassed woman in red is symbol of turkey s occupy gezi httpAddress,guess contract develop brutally tear gassed woman red symbol occupy,0.5990243191212102,0.4009756808787897,1.0
166,381,1657978513,False,finalized,3,04/07/18 17:04,"""11""",1.0,0.6667,"""011""",1,0.6667,Sat Jun 01 08:03:22 +0000 2013,3.4074e+17,rt usrId having spent afternoon around taksim police behavior worse than anything i ever saw in baku or tiflis past httpAddress sad d,spent afternoon around police behavior worse anything ever saw baku tiflis past sad,0.7488917095050129,0.2511082904949873,0.0
170,388,1657978525,False,finalized,3,04/04/18 09:14,"""010""",0.0,0.6658,"""111""",1,1.0,Sun Jun 09 06:56:28 +0000 2013,3.43623e+17,rt usrId #direnankara bbc news ankara protesters clash with turkish police httpAddress wake up 34362269958030336 sun jun DD 06 56 50 00 2013 i slick wanna download candy httpAddress it and then quit cold turkey jus to prove to yal it aint that deep lol 343622811639746562 sun jun DD 06 57 17 00 2013 spotify s daniel ek the most important man in music httpAddress #forbesgreatesthits #occupygezi 343622825866842113 sun jun DD 06 57 20 00 2013 why taksim square matters httpAddress jun DD 06 57 43 00 2013 swimming ! #swimming #turkey #turkiet #marmaris #travel #lovetravel #resa #instatravel #voyage #journey httpAddress jun DD 06 58 08 00 2013 tear gas in the streets of #gazi mahallesi tonight a neighborhood in istanbul httpAddress #occupygezi httpAddress via usrId,bbc news ankara clash police wake slick wanna download candy quit cold jus prove yal aint deep lol spotify daniel ek important man music forbesgreatesthits square matters swimming swimming turkiet marmaris travel lovetravel resa instatravel voyage journey tear gas streets gazi mahallesi tonight neighborhood via,0.05915668473909569,0.9408433152609043,1.0
192,426,1657978594,False,finalized,3,04/03/18 17:51,"""110""",1.0,0.6612,"""111""",1,1.0,Tue Jun 04 15:05:24 +0000 2013,3.41934e+17,turkey deputy pm sorry for excessive force httpAddress #truth #freedom,deputy sorry excessive force truth freedom,0.9522923079039776,0.04770769209602239,0.0
200,451,1657978640,False,finalized,3,4/24/2018 20:23:09,"""11""",1.0,0.6667,"""011""",1,0.6667,Tue Jun 18 09:12:04 +0000 2013,3.46918e+17,rt usrId timeline of events in #turkey police escalate attacks on #healthcare workers and doctors httpAddress via,timeline events police escalate attacks healthcare workers doctors via,0.8370151258705486,0.1629848741294513,0.0
216,479,1657978700,False,finalized,3,04/03/18 19:14,"""111""",1.0,1.0,"""111""",1,1.0,Sat Jun 01 23:40:07 +0000 2013,3.40976e+17,rt usrId chemicals are used people throwing up and bleeding everywhere but nothing on tv . help us #occupygezi usrId usrId usrId,chemicals used people throwing bleeding everywhere nothing tv help us,0.8053591570018431,0.1946408429981567,0.0
237,523,1657978782,False,finalized,3,04/07/18 15:44,"""nan""",0.0,0.0,"""000""",0,1.0,Sat Jun 08 15:09:58 +0000 2013,3.43384e+17,rt usrId photo if god gives you tear gas make lemonade httpAddress ,photo god gives tear gas make lemonade,0.6205253526485701,0.3794746473514298,1.0
238,529,1657978789,False,finalized,3,04/03/18 21:53,"""101""",1.0,0.6594,"""111""",1,1.0,Wed Jun 05 18:52:46 +0000 2013,3.42353e+17,rt usrId httpAddress who took it ? mt usrId amazing picture ! man wearing a gas mask on top of ataturk cultural center #occupygezi httpAddress,took mt amazing picture man wearing gas mask top ataturk cultural center,0.9155227254124086,0.08447727458759156,0.0
241,539,1657978804,False,finalized,3,4/13/2018 06:57:17,"""nan""",0.0,0.0,"""000""",0,1.0,Sun Jun 16 18:32:18 +0000 2013,3.46334e+17,ankara police block activist funeral cortege raid memorial protest with tear gas #turkey httpAddress,ankara police block activist funeral cortege raid memorial tear gas,0.130612345193356,0.869387654806644,1.0
252,564,1657978844,False,finalized,3,04/09/18 20:32,"""111""",1.0,1.0,"""111""",1,1.0,Sat Jun 15 18:50:55 +0000 2013,3.45977e+17,rt usrId photo #gezipark in panic as httpAddress used to clear protest by riot police httpAddress #occupygezi,photo gezipark panic used clear riot police,0.8565073912796674,0.14349260872033273,0.0
261,582,1657978872,False,finalized,3,04/03/18 19:01,"""001""",0.0,0.6594,"""111""",1,1.0,Sun Jun 16 21:33:27 +0000 2013,3.4638e+17,rt usrId tear gas water httpAddress DD hours of powerful photos from httpAddress via httpAddress httpAddress httpAddress,tear gas water hours powerful photos via,0.5154885640418446,0.4845114359581555,1.0
265,593,1657978895,False,finalized,3,04/03/18 19:51,"""110""",1.0,0.657,"""111""",1,1.0,Tue Jun 11 17:37:43 +0000 2013,3.44509e+17,rt usrId massive tear gas clouds fill istanbul s taksim square as riot police push back httpAddress httpAddress,massive tear gas clouds fill square riot police push back,0.7662789389107043,0.23372106108929566,0.0
266,594,1657978898,False,finalized,3,4/21/2018 17:54:13,"""001""",0.0,0.6783,"""111""",1,1.0,Sun Jun 09 18:28:05 +0000 2013,3.43797e+17,rt usrId turkey government threatens pressurized httpAddress that s what we have on behalf of democracy in #turkey ! #usa #amnesty #occupygezi httpAddress,government threatens pressurized behalf democracy usa amnesty,0.6777197090712183,0.32228029092878163,1.0
278,618,1657978946,False,finalized,3,04/03/18 21:45,"""110""",1.0,0.6612,"""111""",1,1.0,Sat Jun 01 07:11:44 +0000 2013,3.40727e+17,capital city rocked by police crackdown on solidarity protest with gezi park httpAddress via usrId,capital city rocked police crackdown solidarity via,0.7799100233224245,0.2200899766775756,0.0
290,638,1657978976,False,finalized,3,04/07/18 16:46,"""11""",1.0,0.6667,"""101""",1,0.6667,Sun Jun 16 13:15:34 +0000 2013,3.46255e+17,rt usrId oh httpAddress just vitamins then ? usrId istanbul governor says they put medicine not chemicals in sprayed httpAddress #occupyg,oh vitamins governor says put medicine chemicals sprayed occupyg,0.9533192800492055,0.0466807199507943,0.0
298,654,1657979007,False,finalized,3,04/03/18 21:57,"""101""",1.0,0.664,"""111""",1,1.0,Fri May 31 19:56:02 +0000 2013,3.40557e+17,police attack protesters in istanbuls taksim square #direngezi #gallery #nyt httpAddress,police attack istanbuls square direngezi gallery nyt,0.8387113270909449,0.1612886729090552,0.0
306,667,1657979034,False,finalized,3,04/07/18 16:42,"""101""",1.0,0.6667,"""111""",1,1.0,Tue Jun 04 19:42:38 +0000 2013,3.42003e+17,#turkey imported DD tons of tear gas 21 million pepper spray in DD years mainly from us #brazil httpAddress #occupygezi,imported tons tear gas million pepper spray years mainly us brazil,0.8727177065617644,0.1272822934382356,0.0
329,721,1657979139,False,finalized,3,04/06/18 14:39,"""01""",1.0,0.3361,"""110""",1,0.6695,Sat Jun 15 20:37:17 +0000 2013,3.46003e+17,rt usrId #turkey live tear gas affected children inside divan hotel httpAddress via usrId usrId,live tear gas affected children inside divan hotel via,0.8795100700730776,0.12048992992692256,0.0
340,736,1657979163,False,finalized,3,04/08/18 21:50,"""1""",0.0,0.0,"""001""",0,0.6667,Tue Jun 11 19:36:37 +0000 2013,3.44539e+17,rt usrId chaos overtakes istanbul protests tear gas water cannons fireworks httpAddress details live on usrId tv .,chaos overtakes tear gas water cannons fireworks details live tv,0.5499340182700342,0.450065981729966,1.0
350,757,1657979196,False,finalized,3,04/03/18 19:09,"""110""",1.0,0.6594,"""111""",1,1.0,Sun Jun 09 20:20:02 +0000 2013,3.43825e+17,rt usrId turkey protesters get creative to fight back against tear gas 343824851301179392 sun jun DD 20 20 07 00 2013 rt usrId pm is still using women wearing veils as a political tool while these women have already started to stand up against httpAddress # 343824859761DD0560 sun jun DD 20 20 DD 00 2013 rt usrId i support all my fans from turkey who are protesting there government right now ! this is for you tayyipi sikeyim ! #turke,get creative fight back tear gas still using women wearing veils political tool women already started stand support fans protesting government right tayyipi sikeyim turke,0.9844797910301343,0.015520208969865616,0.0
379,815,1657979286,False,finalized,3,4/22/2018 18:14:10,"""111""",1.0,1.0,"""111""",1,1.0,Sun Jun 16 19:25:13 +0000 2013,3.46348e+17,rt usrId child overcome by tear gas in hotel near httpAddress usrId photo by yannis httpAddress httpAddress httpAddress,child overcome tear gas hotel near photo yannis,0.6974531092941083,0.3025468907058919,0.0
381,817,1657979289,False,finalized,3,04/03/18 19:13,"""110""",1.0,0.6594,"""111""",1,1.0,Sat Jun 01 12:39:57 +0000 2013,3.4081e+17,rt usrId a little girl with her dad seeking refuge in a patisserie at taksim httpAddress usrId httpAddress #direngezipar,little girl dad seeking refuge patisserie direngezipar,0.94852212870808,0.051477871291920135,0.0
386,823,1657979304,False,finalized,3,04/06/18 13:38,"""101""",1.0,0.6666,"""111""",1,1.0,Mon Jun 03 22:42:54 +0000 2013,3.41686e+17,rt usrId usrId peoples bulldozer chases police toma vehicles in httpAddress #direngeziparki #occupygezi httpAddress,peoples bulldozer chases police toma vehicles,0.835713925993306,0.16428607400669393,0.0
390,831,1657979320,False,finalized,3,04/06/18 15:57,"""000""",0.0,1.0,"""111""",1,1.0,Thu Jun 06 17:00:52 +0000 2013,3.42688e+17,think the police terror has ended in turkey ? check the coverage of usrId in ankara this morning ! usrId httpAddress,think police terror ended check coverage ankara morning,0.5709497365813506,0.42905026341864927,1.0
392,834,1657979327,False,finalized,3,04/03/18 18:47,"""011""",1.0,0.6594,"""111""",1,1.0,Fri May 31 20:37:29 +0000 2013,3.40568e+17,the police are trying to coax people into leaving hilton by telling them they won t be taken into httpAddress #occupygezi,police trying coax people leaving hilton telling taken,0.733223366718317,0.26677663328168283,0.0
400,848,1657979346,False,finalized,3,4/24/2018 20:23:09,"""01""",1.0,0.3333,"""101""",1,0.6667,Mon Jun 10 19:44:50 +0000 2013,3.44178e+17,rt usrId oracle s bob evans #cloudexpo session standing room httpAddress httpAddress #cloud #occupygezi,oracle bob evans cloudexpo session standing room cloud,0.9714081537074195,0.028591846292580537,0.0
402,851,1657979351,False,finalized,3,04/03/18 19:51,"""10""",0.0,0.343,"""101""",1,0.6542,Tue Jun 11 12:14:00 +0000 2013,3.44427e+17,rt usrId oh and although i m soaked from the water cannon and hurting from the tear gas i m glad to say my camera is fine ! #occupyge,oh although soaked water cannon hurting tear gas glad say camera fine occupyge,0.5,0.5,1.0
421,887,1657979428,False,finalized,3,4/14/2018 05:48:51,"""nan""",0.0,0.0,"""000""",0,1.0,Sun Jun 02 19:00:38 +0000 2013,3.41268e+17,rt usrId the police start shooting gas inside buildings in ankara while mainstream tv networks largely ignore httpAddress,police start shooting gas inside buildings ankara mainstream tv networks largely ignore,0.5774549996364405,0.4225450003635595,1.0
436,931,1657979509,False,finalized,3,04/04/18 09:21,"""011""",1.0,0.6684,"""111""",1,1.0,Fri May 31 23:38:37 +0000 2013,3.40613e+17,rt usrId this is the evidence of the police httpAddress he is ran by the panzer httpAddress #taksimgezipark #direngezipar,evidence police ran panzer taksimgezipark direngezipar,0.835713925993306,0.16428607400669393,0.0
440,942,1657979525,False,finalized,3,04/03/18 17:04,"""111""",1.0,1.0,"""111""",1,1.0,Mon Jun 03 18:52:03 +0000 2013,3.41628e+17,rt usrId #turkey police are firing tear gas grenades straight into crowds with an #oakland abandon a cool new way of httpAddress,police firing tear gas grenades straight crowds oakland abandon cool new way,0.6871149456331895,0.3128850543668103,0.0
444,951,1657979542,False,finalized,3,04/07/18 17:10,"""01""",1.0,0.3333,"""011""",1,0.6667,Tue Jun 11 17:28:08 +0000 2013,3.44506e+17,#stopgeziattack lawyers arrested today in turkey . word is watching httpAddress ..,stopgeziattack lawyers arrested today word watching,0.9953353189729054,0.004664681027094595,0.0
466,996,1657979625,False,finalized,3,04/03/18 18:47,"""111""",1.0,1.0,"""111""",1,1.0,Sat Jun 01 11:50:38 +0000 2013,3.40798e+17,usrId usrId many people are exposed to violance in istanbul since they are against the dictatorship ! media is under the blackout ! announce !,many people exposed violance since dictatorship media blackout announce,0.9407903359596251,0.05920966404037478,0.0
472,1007,1657979644,False,finalized,3,04/08/18 21:50,"""10""",1.0,0.3333,"""011""",1,0.6667,Tue Jun 11 15:13:51 +0000 2013,3.44473e+17,rt usrId a pic from infirmary at taksim httpAddress httpAddress #occupyturkey #stopthisviolence,pic infirmary occupyturkey stopthisviolence,0.8614366723814365,0.13856332761856344,0.0
483,1031,1657979694,False,finalized,3,04/06/18 13:45,"""10""",1.0,0.3361,"""110""",1,0.6695,Mon Jun 03 18:25:39 +0000 2013,3.41622e+17,rt usrId gas seems to have dispersed from taksim for httpAddress sad amp ,gas seems dispersed sad,0.9263745773856077,0.07362542261439226,0.0
488,1039,1657979707,False,finalized,3,04/03/18 21:27,"""111""",1.0,1.0,"""111""",1,1.0,Sat Jun 01 18:41:09 +0000 2013,3.40901e+17,the events that occured in turkey yesterday are horrifying and its sad that they won t be televised bc of their httpAddress #direngezipark,events occured yesterday horrifying sad televised bc,0.94852212870808,0.051477871291920135,0.0
489,1040,1657979708,False,finalized,3,04/03/18 18:39,"""101""",1.0,0.6612,"""111""",1,1.0,Fri May 31 19:26:17 +0000 2013,3.4055e+17,rt usrId usrId usrId usrId animals are dying from police brutality because we only wanted to proctect the trees,animals dying police brutality wanted proctect trees,0.913478061603046,0.08652193839695396,0.0
492,1048,1657979720,False,finalized,3,04/03/18 22:25,"""11""",1.0,0.6658,"""110""",1,0.6658,Fri May 31 20:33:35 +0000 2013,3.40567e+17,rt usrId hooray ! the turks are firing american made tear gas on protesters in istanbul ! httpAddress v usrId usrId usrId,hooray turks firing american made tear gas v,0.8342949862085608,0.1657050137914391,0.0
494,1051,1657979727,False,finalized,3,04/03/18 22:25,"""11""",1.0,0.664,"""110""",1,0.664,Fri May 31 23:42:01 +0000 2013,3.40614e+17,rt usrId in turkey gov uses good old dictatorial methods shut local wifi and use brutal force against httpAddress dictators are the,gov uses good old dictatorial methods shut local wifi use brutal force dictators,0.7559452318073681,0.24405476819263225,0.0
497,1057,1657979737,False,finalized,3,04/03/18 17:54,"""111""",1.0,1.0,"""111""",1,1.0,Sat Jun 22 23:50:05 +0000 2013,3.48589e+17,rt usrId polices are using plastic bullets ! look at this ! #capulculartaksime #occupygezi usrId usrId usrId usrId http,polices using plastic bullets look capulculartaksime,0.9591143398508153,0.04088566014918479,0.0
507,1084,1657979780,False,finalized,3,04/03/18 18:24,"""010""",0.0,0.6676,"""111""",1,1.0,Sat Jun 01 13:07:51 +0000 2013,3.40817e+17,usrId taksim square in istanbul activists entered the police httpAddress in ankara police using chemical httpAddress,square activists entered police ankara police using chemical,0.19050845769236355,0.8094915423076363,1.0
511,1090,1657979789,False,finalized,3,04/06/18 12:09,"""11""",1.0,0.6677,"""110""",1,0.6677,Wed Jun 05 07:17:44 +0000 2013,3.42178e+17,rt usrId another proof showing that akp s youth are in the streets with sticks in the hand beating up httpAddress #eylemvakti h,another proof showing akp youth streets sticks hand beating eylemvakti h,0.9351001123813231,0.0648998876186768,0.0
517,1101,1657979809,False,finalized,3,04/05/18 13:14,"""11""",1.0,0.6615,"""101""",1,0.6615,Mon Jun 03 15:46:38 +0000 2013,3.41582e+17,this is neither hollywood nor httpAddress this is made in turkey by turkish police #turkishspring #gezipark #taksim httpAddress,neither hollywood made police turkishspring gezipark,0.8578093702451042,0.14219062975489588,0.0
530,1140,1657979871,False,finalized,3,04/03/18 21:47,"""011""",1.0,0.6631,"""111""",1,1.0,Sat Jun 01 19:09:28 +0000 2013,3.40908e+17,rt usrId big party in httpAddress music fireworks demonstrators building httpAddress but cops firing gas in httpAddress watch live httpAddress,big party music fireworks demonstrators building cops firing gas watch live,0.9182754323470963,0.08172456765290387,0.0
537,1165,1657979907,False,finalized,3,04/03/18 17:19,"""110""",1.0,0.6612,"""111""",1,1.0,Tue Jun 04 12:34:18 +0000 2013,3.41896e+17,rt usrId turkish deputy pm apologizes for police aggression against initial istanbul httpAddress httpAddress,deputy apologizes police aggression initial,0.835713925993306,0.16428607400669393,0.0
543,1179,1657979932,False,finalized,3,4/22/2018 12:39:40,"""1""",0.0,0.0,"""001""",0,0.6783,Tue Jun 11 20:42:15 +0000 2013,3.44555e+17,rt usrId rt usrId rt usrId unreal photos smoke fire water in #taksim square httpAddress httpAddress #t,unreal photos smoke fire water square t,0.617497748572443,0.3825022514275569,1.0
551,1195,1657979956,False,finalized,3,04/04/18 09:44,"""1""",0.0,0.0,"""010""",0,0.6667,Tue Jun 11 08:03:00 +0000 2013,3.44364e+17,turkish police storm taksim square riot police fire teargas as protesters fight back government attempt to httpAddress httpAddress,police storm square riot police fire teargas fight back government attempt,0.44696328770016597,0.5530367122998341,1.0
557,1207,1657979976,False,finalized,3,4/27/2018 16:26:06,"""1""",0.0,0.0,"""010""",0,0.6783,Sat Jun 01 10:19:22 +0000 2013,3.40775e+17,turkish protestors are being violently attacked hence one killed by turkish police in istanbul turkey ! httpAddress,protestors violently attacked hence one killed police,0.2041822019355211,0.7958177980644787,1.0
564,1216,1657979989,False,finalized,3,04/03/18 19:45,"""110""",1.0,0.6522,"""111""",1,1.0,Sat Jun 01 23:56:08 +0000 2013,3.4098e+17,great footage from inside #turkey clashes video revolution in DD seconds httpAddress #occupygezi #direnankara #direnizmir,great footage inside clashes video revolution seconds direnizmir,0.8907789627305165,0.10922103726948343,0.0
577,1240,1657980026,False,finalized,3,04/03/18 21:18,"""11""",1.0,0.6594,"""011""",1,0.6594,Tue Jun 04 02:05:43 +0000 2013,3.41737e+17,usrId the lede add tear gas and stir images of police brutality fuel anger in turkey frustrated by the httpAddress usrId,lede add tear gas stir images police brutality fuel anger frustrated,0.7391501729458473,0.2608498270541526,0.0
586,1261,1657980068,False,finalized,3,4/24/2018 20:23:09,"""11""",1.0,0.6667,"""011""",1,0.6667,Mon Jun 17 19:46:39 +0000 2013,3.46716e+17,rt usrId reports of gas being sprayed on protesters gathering in httpAddress at this rate istanbul needs a gas forecast added to weathe,reports gas sprayed gathering rate needs gas forecast added weathe,0.8364522573451092,0.16354774265489064,0.0
588,1267,1657980076,False,finalized,3,04/06/18 15:40,"""nan""",0.0,0.0,"""000""",0,1.0,Tue Jun 04 19:10:32 +0000 2013,3.41995e+17,rt usrId dear government of turkey when the syrian government criticises you for attacking peaceful protesters you know you ve,dear government syrian government criticises attacking peaceful know,0.40813008416085195,0.591869915839148,1.0
599,1285,1657980118,False,finalized,3,04/03/18 22:27,"""11""",1.0,0.664,"""101""",1,0.664,Fri May 31 22:47:46 +0000 2013,3.40601e+17,#turkey engulfed in protests across several cities after riot police turned istanbul into a battleground httpAddress,engulfed across several cities riot police turned battleground,0.9407808234067995,0.05921917659320039,0.0
605,1301,1657980153,False,finalized,3,04/06/18 15:06,"""011""",1.0,0.6666,"""111""",1,1.0,Sat Jun 15 19:00:28 +0000 2013,3.45979e+17,peacefull protestors are under attack ! please go live now ! usrId usrId usrId usrId usrId usrId usrId #direngeziparki,peacefull protestors attack please go live,0.9136814770629603,0.08631852293703961,0.0
606,1302,1657980154,False,finalized,3,04/04/18 09:29,"""01""",1.0,0.3342,"""110""",1,0.6658,Tue Jun 11 07:54:51 +0000 2013,3.44362e+17,rt usrId heavy police presence in taksim httpAddress british nationals should avoid the square and the surrounding httpAddress,heavy police presence british nationals avoid square surrounding,0.7927437363088196,0.20725626369118022,0.0
