,Fatma_violence,clean_text,non_vio_prob,vio_prob,violence_prediction
429,1,killed far via,0.7748799923137942,0.2251200076862056,0
1064,1,breaking year old man died taxi drove group,0.9015264779518746,0.09847352204812561,0
840,0,erdogan defends riot police tactics reuters prime minister tayyip,0.5394613403252809,0.460538659674719,1
1220,1,use gas crowd control war crime,0.9578133895237346,0.042186610476265395,0
1103,0,ankara resident tells police gathering expected sunday afternoon occupyturkey,0.5850350665269032,0.4149649334730968,1
1144,1,video lawyers arrested many injured police enter square clear,0.6976834766297261,0.3023165233702739,0
295,1,spray eyes malox standing fire smoke helps tear right occupyg,0.9349170377741086,0.06508296222589148,0
618,1,capital city rocked police crackdown solidarity via,0.7303984016068341,0.26960159839316605,0
1234,1,canim hain polisler friends injured please spread word tayyip tayyipresign,0.9143197494026952,0.08568025059730472,0
668,1,right dozens injuried kizillay via,0.9626920038749937,0.03730799612500641,0
1089,0,tracking drop tweets lot ppl talking police attack,0.09360566750828768,0.9063943324917124,1
298,1,cbc journalists say released sasapetricic derekstoffelcbc arrested,0.6584993624401518,0.34150063755984816,0
283,1,occupy activists arrested social media posts amid via,0.8395109477518842,0.16048905224811563,0
891,1,wrote almost killed respect real reporters,0.7739312100390697,0.2260687899609304,0
1087,0,youtube gezipark polis basina karsi police press cohttpaddresscjxjn umto direngezi direntaksim direnturkiye,0.3586439988972042,0.6413560011027958,1
834,0,police trying coax people leaving hilton telling taken,0.3372046430396441,0.6627953569603557,1
559,1,bbc reporter never saw much teargas thrown anytime life,0.8152514141761862,0.1847485858238136,0
666,1,many asthma allergy sufferers divan hotel waiting help doctors needed,0.8345159005423988,0.16548409945760112,0
1080,0,young people thronging streets iran ones,0.6086586235205244,0.39134137647947576,1
1036,0,america donut day day bbq ribs day every haha happy national donut day,0.519713720120779,0.48028627987922085,1
554,1,mahmut tanal reports police carrying pepper gas put,0.7208069527368676,0.27919304726313243,0
585,1,good read erdoan shot foot via,0.9460198610687989,0.05398013893120115,0
1101,0,neither hollywood made police turkishspring gezipark,0.6078476899484831,0.39215231005151685,1
1303,1,police teargasing women children cnn bbcworld libya algeria egyptair un ap,0.7370483148624541,0.26295168513754585,0
440,1,people throw carnations state responds thuggery intimidation,0.8792753313697211,0.12072466863027861,0
586,1,said police burning trees origin cause,0.7896477776976404,0.21035222230235956,0
1208,1,riots barricades street battles police fight photos video direngezip,0.9083806721927583,0.09161932780724157,0
710,1,erdogan wounded felled reuters dazedmagazine riots continue cause uproar trafalgar square hosts version,0.9515993552573849,0.048400644742615094,0
432,1,sos urgent petition erdogan end crack,0.9465296593875925,0.053470340612407394,0
127,1,act send message authorities end abuse reveal extent injuries pls occup,0.9383790913593983,0.061620908640601636,0
206,1,s arrested protestors locked basketball people plan march release occupy,0.9283359985228229,0.07166400147717689,0
550,1,assad soldiers brutally torturing syrian civilians syria usa israel canada q,0.8727187523706852,0.1272812476293149,0
771,0,riot police enter square focus ongoing anti government,0.19605875505652257,0.8039412449434774,1
118,1,unbelievable threat health minister today prosecute doctors treating injured protestors dir,0.6776614184049667,0.32233858159503315,0
173,0,cnn international europe new hitler direngezi direngeziseninleyiz,0.4932823250079876,0.5067176749920124,1
972,1,citizenradio arrested moralmonday unions join male panel rape military,0.9368521141958436,0.06314788580415653,0
1130,1,urgent petition pressuring erdoan stop crackdown destruction join,0.9577218592191851,0.042278140780814884,0
479,1,chemicals used people throwing bleeding everywhere nothing tv help us,0.861691814278959,0.13830818572104092,0
523,0,photo god gives tear gas make lemonade,0.25556573497413126,0.7444342650258686,1
1148,1,erdogan attack headscarved sisters drank alcohol dolmabahce mosque bring,0.6817899073917393,0.3182100926082611,0
94,0,simsek says journalists killed people robbed mon simsek says erdogan government imposing way life mon via erdogan said cops look brave,0.2717384984155621,0.728261501584438,1
233,1,twitter condemned media criticized ignoring police brutality news,0.7192134088469558,0.2807865911530444,0
1228,0,chemical added water cannons via,0.231172116129011,0.7688278838709891,1
1185,1,police clear square turkeys neoliberal market cole interview,0.789981491758226,0.21001850824177398,0
1184,0,tear gas dutch consulate holland consulate,0.5336577809195567,0.4663422190804433,1
831,1,think police terror ended check coverage ankara morning,0.8339946877616895,0.1660053122383106,0
883,1,bloggers arrested izmir via wearegezi,0.9872586565723177,0.012741343427682319,0
43,1,think last pic managed see gas cloud landing middle crowded,0.9506690745225785,0.04933092547742146,0
671,1,erdogan police burning wish tree gezipark burn hope occupytree,0.6631921600289516,0.33680783997104835,0
58,0,police detaining doctors ramada hotel treating gezipark protestors eu minister tweets link saying people need know anyone entering seen yer yer direni everywhere everywhere letter world medical association millions doctors world responding every instance police violence acts kindness,1.7046556244234146e-08,0.9999999829534437,1
265,0,stanbul foggy tear gas,0.4126979537173679,0.587302046282632,1
951,1,stopgeziattack lawyers arrested today word watching,0.9729295421068676,0.027070457893132355,0
1285,0,engulfed across several cities riot police turned battleground,0.2002015613587198,0.7997984386412802,1
521,0,mothers gezipark mothers police draw back sons,0.6078476899484831,0.39215231005151685,1
481,0,situation front divan hotel calmed still enough medics police closed streets stopped,0.604534535637131,0.395465464362869,1
474,0,someone catalog tear gas canister let find companies responsible profiting civilian,0.34962639677804996,0.65037360322195,1
619,1,dress protect teargas photos live blog,0.8622642449235528,0.13773575507644698,0
602,0,citizens protesting get taste govts brutality chance christians minorities,0.6267092943362754,0.37329070566372463,1
103,0,video j barricades reinforced anticipation attack camp istranbul,0.17951415880865176,0.8204858411913483,1
447,1,new photos water cannon hold sq tuesday,0.6378745657009124,0.3621254342990876,0
25,1,blocking bulldozers tear gassed,0.8617552190461475,0.13824478095385256,0
135,0,despite attack continue post updates bradley manning trial,0.39028022976225946,0.6097197702377406,1
985,1,omg happening people dying democracy whole burning,0.6874552579624074,0.3125447420375927,0
520,0,true erdogan intl media staged comprehensive attack,0.4709234180504715,0.5290765819495287,1
613,0,protester dresses police stealing helmet shield baton security forces umit bektas,0.44585225381919286,0.554147746180807,1
1100,1,crackdown stirs riots,0.8309419639314748,0.16905803606852504,0
870,1,thousands pack istanbuls square arrested across video photos news,0.9772378691087095,0.022762130891290578,0
1126,0,helping dog affected tear gas,0.5336577809195567,0.4663422190804433,1
703,1,stop violence occupyturkey,0.93888471680783,0.06111528319217021,0
124,1,video police brutally disperse demolition,0.6363646198192868,0.3636353801807132,0
877,1,please government killing us media blackout,0.7185095567298506,0.28149044327014955,0
311,1,shopping mall opened doors people running away gas,0.8198026304389948,0.18019736956100524,0
582,0,tear gas water hours powerful photos via,0.30418880462108705,0.6958111953789128,1
691,0,cnn international correspondent covering growing cnn turk showing music videos,0.6052112344032884,0.3947887655967118,1
1165,1,deputy apologizes police aggression initial,0.750257056097321,0.24974294390267912,0
1108,1,social media worst menace society says twitter users arrested via,0.8581280008383106,0.14187199916168913,0
1232,0,chemical war violence opturkey,0.5716327744503054,0.42836722554969464,1
110,0,pix police brutality enough govt call cops talk ppl,0.6162462606911123,0.3837537393088876,1
595,0,odd unleashes clouds pepper spray tear gas citizens makes illegal show smoking,0.5130335215294906,0.4869664784705095,1
697,0,riot police move square,0.28828418582033133,0.7117158141796687,1
649,0,bruce willis let everyone people dying streets suffering dayan,0.28817349986134155,0.7118265001386584,1
196,1,erdogan must stop security forces attack citizens stop provoking,0.8704366039666337,0.12956339603336664,0
1000,0,fidel silence crime police brutality please occupyturkey wearegezi,0.6006421663971865,0.3993578336028135,1
853,1,today youth arrested tweeting photo via occup,0.944992030384809,0.05500796961519101,0
195,1,ununiformed cops attacking shops provocation live square,0.7524647490946228,0.2475352509053771,0
443,1,provocateurs burning public vehicles cohttpaddress qh cu kj,0.9285655398093947,0.07143446019060533,0
1190,0,suggest people follow example regular people making strong stand auth,0.4325104022469219,0.5674895977530782,1
314,1,old man lost ear police allow ambulance move,0.7666652097406823,0.23333479025931794,0
371,1,international news channels showing riots,0.9749048707926345,0.02509512920736534,0
439,0,stanbul rioting movie played movie ko dogan dous cnn bbc reuters big bye,0.5,0.5,1
